species,years,days,reference
atlantic_salmon,2,730, https://mowi.com/wp-content/uploads/2023/06/2023-Salmon-Farming-Industry-Handbook-2023.pdf
general_salmonid,1.5,548,https://www.fao.org/fishery/en/culturedspecies/oncorhynchus_mykiss/en
european_seabass,2,730,https://onlinelibrary.wiley.com/doi/full/10.1111/age.12779
gilthead_seabream,2,730,https://www.mdpi.com/2077-1312/11/10/2008
large_yellow_croaker,2,730,https://www.mdpi.com/2071-1050/13/24/13952 
japanese_seabass,0.5,183,https://ussec.org/wp-content/uploads/2019/10/01seabasswgrbeihai.pdf
japanese_amberjack,2,730,https://www.fao.org/fishery/en/culturedspecies/seriola_quinqueradiata/en
general_grouper,1,365,https://www.sciencedirect.com/science/article/pii/S0044848619311469
pompano,0.5,183,https://www.seafdec.org.ph/pompano/#:~:text=Harvest%20pompano%20when%20they%20reach%20the%20weight%20of%2030%20g.
milkfish,0.66,241,https://www.fao.org/fishery/affris/species-profiles/milkfish/production/en/
