ingredient,plant_dominant,novel_inclusive,marine_dominant,sowdamini_reference,sowdamini_soy,sowdamini_chicken,sowdamini_singlecell
bsf-meal,,0.05,,,,,
canola-oil,0.18,0.15,,0.025,,,
chicken-protein-concentrate,,0.1,,,,0.3,
coconut-oil,0.01,0.02,,,,,
corn-gluten-meal,0.007,0.08,0.04,,,,
faba-beans,0.036,,0.02,,,,
fishmeal-forage,0.088,,0.32,0.487575,0.341325,0.341325,0.341325
fishmeal-trimmings,0.033,0.05,,0.162525,0.113775,0.113775,0.113775
fish-oil-forage,0.084,0.02,0.23,0.071475,0.050025,0.050025,0.050025
fish-oil-trimmings,0.02,0.05,,0.023825,0.016675,0.016675,0.016675
guar-meal,0.043,,,,,,
krill-meal,0.004,0.02,,,,,
linseed-oil,0.013,0.03,,,,,
methanobacterial-meal,,0.07,,,,,
pea-flour,0.025,,,,,,
pea-protein-concentrate,0.014,0.05,,,,,
soybean-meal,,,0.17,,,,
soybean-oil,0.004,0.02,,,,,
single-cell-protein,,,,,,,0.3
soy-protein-concentrate,0.209,0.15,,,0.3,,
spirulina-meal,,0.07,,,,,
sunflower-meal,0.034,,,,,,
wheat,0.065,,0.07,0.0966,0.0676,0.0676,0.0676
wheat-gluten,0.098,,0.15,0.1049,,,
microingredients,0.041,,,0.0091,0.0064,0.0064,0.0064
yeast-meal,,0.07,,,,,
potato-starch,,,,0.02,0.014,0.014,0.014
