ingredient,type,protein,lipid,carb,ash,protein_digestibility,lipid_digestibility,carb_digestibility
algal-oil,novel,0,1,0,0,0,0.951761816,0
amino-acids,,0,0,0,1,0,0,0
bsf-meal,novel,0.535,0.224,0.111,0.13,0.862646148,0.93,0.41
canola-meal,plant,0.327,0.13,0.466727193,0.076272807,0.911087081,0.93,0.686
canola-oil,plant,0,1,0,0,0,0.951761816,0
feather-meal,animal,0.868490385,0.067799419,0.013710196,0.05,0.865969646,0.937088381,0.78
fishmeal-forage,marine,0.73425,0.083,0.04375,0.139,0.879840132,0.95670949,0.833
fishmeal-trimmings,marine,0.73425,0.083,0.04375,0.139,0.879840132,0.95670949,0.817
fish-oil-forage,marine,0,1,0,0,0,0.95670949,0
fish-oil-trimmings,marine,0,1,0,0,0,0.95670949,0
guar-meal,plant,0.42,0.053,0.469,0.058,0.63,0.951761816,0.71
hemoglobin-powder,animal,0.93,0.07,0,0,0.622,0.951761816,0.604
krill-meal,marine,0.551,0.2692252,0.0408748,0.1389,0.877686517,0.951148291,0.594
lupin-meal-dehulled,plant,0.4181,0.140033333,0.410683333,0.031183333,0.8905,0.951761816,0.7975
meat-bone-meal,animal,0.537833333,0.13249433,0.024672337,0.305,0.830305427,0.931894626,0.687
meat-meal,animal,0.561888889,0.087,0.237111111,0.114,0.81159791,0.93,0.687
microingredients,,0,0,0,1,0,0,0
ovine-meal,animal,0.621666667,0.122,0.142333333,0.114,0.786380818,0.93,0.689
pea-protein-concentrate,plant,0.84,0.05,0.07,0.04,0.88,0.951761816,0.77
potato-starch,plant,0,0,1,0,0.849,0.947,0.728
poultry-meal,animal,0.722928571,0.1168969,0.054174529,0.106,0.866108833,0.94897384,0.689
poultry-oil,animal,0,1,0,0,0,0.965785203,0
chicken-protein-concentrate,animal,0.8185,0.1448625,0.0066375,0.03,0.883818794,0.965785203,0.88
single-cell-protein,novel,0.759,0.101,0,0.14,0.941446214,0.93,0.68
soybean-meal,plant,0.653,0.02,0.257,0.07,0.893773367,0.93,0.82
soy-protein-concentrate,plant,0.66175,0.01126924,0.25398076,0.073,0.876008436,0.951761816,0.875
wheat,plant,0.13,0.02,0.83,0.02,0.9,0.951761816,0.8
wheat-gluten,plant,0.766,0.074,0.153,0.007,0.89,0.951761816,0.75
