FID,REGION_CODE,REGION_DESCRIPTION,SITE_NAME,TEMP_C,DEPTH,MOORING_CODE,MOORING_DESCRIPTION,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,GEOM,DATETIME_LOCAL,DATETIME_UTC
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7704,3,East Coast,Iron Pot,17.439,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-01T17:00:00,2020-01-01T07:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7705,3,East Coast,Iron Pot,15.127,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-02T01:00:00,2020-01-01T15:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7706,3,East Coast,Iron Pot,16.487,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-02T09:00:00,2020-01-01T23:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7707,3,East Coast,Iron Pot,14.888,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-02T17:00:00,2020-01-02T07:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7708,3,East Coast,Iron Pot,15.939,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-03T01:00:00,2020-01-02T15:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_7709,3,East Coast,Iron Pot,15.533,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-03T09:00:00,2020-01-02T23:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_770a,3,East Coast,Iron Pot,14.218,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-03T17:00:00,2020-01-03T07:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_770b,3,East Coast,Iron Pot,13.906,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-04T01:00:00,2020-01-03T15:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_770c,3,East Coast,Iron Pot,14.745,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-04T09:00:00,2020-01-03T23:00:00
IWT_LOGGER_GV_DATA.fid-6e5efb92_17c1794ab7b_770d,3,East Coast,Iron Pot,16.368,9,1,Concrete Tyre stainless steel ,1,Sand,-43.053,147.4167,POINT (147.41672 -43.05302),2020-01-04T17:00:00,2020-01-04T07:00:00
