time,analysed_sst_kelvin,SST_celsius
30/6/19,286.50,13.35
1/7/19,286.53,13.38
2/7/19,286.56,13.41
3/7/19,286.34,13.19
4/7/19,286.30,13.15
5/7/19,286.46,13.31
6/7/19,286.49,13.34
7/7/19,286.07,12.92
8/7/19,285.91,12.76
9/7/19,285.92,12.77
10/7/19,285.93,12.78
11/7/19,286.01,12.86
12/7/19,286.28,13.13
13/7/19,286.27,13.12
14/7/19,286.21,13.06
15/7/19,286.19,13.04
16/7/19,285.93,12.78
17/7/19,286.29,13.14
18/7/19,286.27,13.12
19/7/19,286.21,13.06
20/7/19,286.08,12.93
21/7/19,285.88,12.73
22/7/19,285.76,12.61
23/7/19,285.74,12.59
24/7/19,285.72,12.57
25/7/19,285.91,12.76
26/7/19,285.75,12.60
27/7/19,285.67,12.52
28/7/19,285.47,12.32
29/7/19,285.55,12.40
30/7/19,285.44,12.29
31/7/19,285.47,12.32
1/8/19,285.51,12.36
2/8/19,285.49,12.34
3/8/19,285.41,12.26
4/8/19,285.41,12.26
5/8/19,285.25,12.10
6/8/19,284.85,11.70
7/8/19,284.88,11.73
8/8/19,284.98,11.83
9/8/19,284.90,11.75
10/8/19,284.80,11.65
11/8/19,284.69,11.54
12/8/19,284.91,11.76
13/8/19,284.94,11.79
14/8/19,284.96,11.81
15/8/19,284.81,11.66
16/8/19,284.65,11.50
17/8/19,284.69,11.54
18/8/19,284.77,11.62
19/8/19,284.99,11.84
20/8/19,285.00,11.85
21/8/19,284.67,11.52
22/8/19,284.69,11.54
23/8/19,284.71,11.56
24/8/19,284.74,11.59
25/8/19,284.80,11.65
26/8/19,284.75,11.60
27/8/19,284.74,11.59
28/8/19,284.64,11.49
29/8/19,284.39,11.24
30/8/19,284.33,11.18
31/8/19,284.26,11.11
1/9/19,284.24,11.09
2/9/19,284.24,11.09
3/9/19,284.54,11.39
4/9/19,284.57,11.42
5/9/19,284.58,11.43
6/9/19,284.67,11.52
7/9/19,284.78,11.63
8/9/19,284.79,11.64
9/9/19,284.61,11.46
10/9/19,284.30,11.15
11/9/19,284.55,11.40
12/9/19,284.63,11.48
13/9/19,284.81,11.66
14/9/19,284.84,11.69
15/9/19,284.95,11.80
16/9/19,284.89,11.74
17/9/19,284.85,11.70
18/9/19,284.76,11.61
19/9/19,284.77,11.62
20/9/19,285.12,11.97
21/9/19,285.29,12.14
22/9/19,285.06,11.91
23/9/19,285.00,11.85
24/9/19,284.98,11.83
25/9/19,284.87,11.72
26/9/19,284.69,11.54
27/9/19,284.73,11.58
