"","x"
"1",20000
"2",19991.78082
"3",19983.565017746
"4",19975.3525918499
"5",19967.1435409241
"6",19958.9378635816
"7",19950.7355584362
"8",19942.5366241018
"9",19934.3410591933
"10",19926.148862326
"11",20426.148862326
"12",20417.7545526156
"13",20409.3636926225
"14",20400.9762809287
"15",20392.5923161173
"16",20384.2117967716
"17",20375.8347214758
"18",20367.4610888145
"19",20359.0908973729
"20",20350.7241457368
"21",20342.3608324926
"22",20334.0009562273
"23",20325.6445155283
"24",20317.2915089838
"25",20308.9419351826
"26",20300.5957927139
"27",20292.2530801675
"28",20283.9137961339
"29",20275.5779392042
"30",20267.2455079698
"31",20258.9165010231
"32",20250.5909169568
"33",20242.2687543642
"34",20233.9500118391
"35",20225.6346879762
"36",20217.3227813705
"37",20209.0142906176
"38",20200.7092143137
"39",20192.4075510557
"40",20184.1092994409
"41",20175.8144580673
"42",20167.5230255335
"43",20159.2350004384
"44",20150.9503813819
"45",20142.6691669641
"46",20134.3913557859
"47",20126.1169464487
"48",20117.8459375545
"49",20109.5783277059
"50",20101.3141155059
"51",20093.0532995583
"52",20084.7958784674
"53",20076.5418508379
"54",20068.2912152755
"55",20060.0439703859
"56",20051.8001147759
"57",20043.5596470525
"58",20035.3225658235
"59",20027.0888696972
"60",20018.8585572824
"61",20010.6316271886
"62",20002.4080780257
"63",19994.1879084044
"64",19985.9711169357
"65",19977.7577022315
"66",19969.5476629039
"67",19961.3409975659
"68",19953.1377048309
"69",19944.9377833128
"70",19936.7412316264
"71",19928.5480483866
"72",19920.3582322091
"73",19912.1717817104
"74",19903.9886955071
"75",19895.8089722168
"76",19887.6326104574
"77",19879.4596088475
"78",19871.2899660061
"79",19863.1236805529
"80",19854.9607511083
"81",19846.801176293
"82",19838.6449547284
"83",19830.4920850364
"84",19822.3425658396
"85",19922.3425658396
"86",19914.1552998611
"87",19905.9713985133
"88",19897.7908604133
"89",19889.6136841791
"90",19881.4398684291
"91",19873.2694117822
"92",19865.102312858
"93",19856.9385702766
"94",19848.7781826587
"95",19840.6211486255
"96",19832.4674667989
"97",19824.3171358012
"98",19816.1701542554
"99",19808.026520785
"100",19799.886234014
"101",19791.7492925672
"102",19783.6156950696
"103",19775.4854401472
"104",19767.3585264262
"105",19759.2349525336
"106",19751.1147170967
"107",19742.9978187437
"108",19734.8842561031
"109",19726.7740278041
"110",19718.6671324764
"111",19710.5635687503
"112",19702.4633352566
"113",19694.3664306269
"114",19686.2728534929
"115",19678.1826024873
"116",19670.0956762432
"117",19662.0120733941
"118",19653.9317925745
"119",19645.8548324189
"120",19637.7811915628
"121",19629.7108686421
"122",19621.6438622933
"123",19613.5801711533
"124",19605.5197938597
"125",19597.4627290508
"126",19589.4089753651
"127",19581.358531442
"128",19573.3113959213
"129",19565.2675674433
"130",19557.2270446491
"131",19549.18982618
"132",19541.1559106782
"133",19533.1252967863
"134",19525.0979831475
"135",19517.0739684054
"136",19509.0532512045
"137",19501.0358301894
"138",19493.0217040057
"139",19485.0108712992
"140",19477.0033307165
"141",19468.9990809048
"142",19460.9981205115
"143",19453.0004481849
"144",19445.0060625737
"145",19437.0149623272
"146",19429.0271460953
"147",19421.0426125284
"148",19413.0613602774
"149",19405.0833879938
"150",19397.1086943298
"151",19389.1372779378
"152",19381.1691374712
"153",19373.2042715837
"154",19365.2426789294
"155",19357.2843581633
"156",19349.3293079408
"157",19341.3775269177
"158",19333.4290137506
"159",19325.4837670966
"160",19317.5417856131
"161",19309.6030679585
"162",19301.6676127913
"163",19293.7354187708
"164",19285.8064845568
"165",19277.8808088097
"166",19269.9583901904
"167",19262.0392273603
"168",19254.1233189815
"169",19246.2106637165
"170",19238.3012602283
"171",19230.3951071807
"172",19222.4922032379
"173",19214.5925470645
"174",19206.696137326
"175",19198.8029726881
"176",19190.9130518172
"177",19183.0263733803
"178",19175.142936045
"179",19167.2627384791
"180",19159.3857793514
"181",19151.5120573309
"182",19143.6415710873
"183",19135.7743192909
"184",19127.9103006124
"185",19120.0495137232
"186",19112.1919572951
"187",19104.3376300005
"188",19096.4865305124
"189",19088.6386575043
"190",19080.7940096503
"191",19072.9525856248
"192",19065.1143841032
"193",19057.279403761
"194",19049.4476432745
"195",19041.6191013205
"196",19033.7937765763
"197",19025.9716677196
"198",19018.152773429
"199",19010.3370923834
"200",19002.5246232623
"201",18994.7153647456
"202",18986.909315514
"203",18979.1064742486
"204",18971.3068396311
"205",18963.5104103436
"206",18955.7171850689
"207",18947.9271624902
"208",18940.1403412914
"209",18932.3567201569
"210",18924.5762977715
"211",18916.7990728208
"212",18909.0250439906
"213",18901.2542099676
"214",18893.4865694387
"215",18885.7221210916
"216",18877.9608636144
"217",18870.2027956959
"218",18862.4479160252
"219",18854.6962232921
"220",18846.9477161868
"221",18839.2023934003
"222",18831.4602536239
"223",18823.7212955496
"224",18815.9855178697
"225",18808.2529192772
"226",18800.5234984658
"227",18792.7972541294
"228",18785.0741849626
"229",18777.3542896606
"230",18769.6375669191
"231",18761.9240154343
"232",18754.2136339028
"233",18746.506421022
"234",18738.8023754897
"235",18731.1014960043
"236",18723.4037812646
"237",18715.7092299701
"238",18708.0178408206
"239",18508.0178408206
"240",18500.4118043168
"241",18492.8088935821
"242",18485.209107332
"243",18477.6124442825
"244",18470.01890315
"245",18462.4284826515
"246",18454.8411815047
"247",18447.2569984276
"248",18439.6759321388
"249",18432.0979813574
"250",18424.5231448031
"251",18416.951421196
"252",18409.3828092569
"253",18401.817307707
"254",18394.2549152681
"255",18386.6956306623
"256",18379.1394526126
"257",18371.5863798423
"258",18364.0364110753
"259",18356.4895450358
"260",18348.9457804489
"261",18341.4051160399
"262",18333.8675505348
"263",18326.3330826601
"264",18318.8017111428
"265",18311.2734347104
"266",18303.7482520909
"267",18296.226162013
"268",18288.7071632057
"269",18281.1912543986
"270",18273.6784343219
"271",18266.1687017062
"272",18258.6620552827
"273",18251.1584937831
"274",18243.6580159397
"275",18236.1606204851
"276",18228.6663061527
"277",18221.1750716762
"278",18213.6869157899
"279",18206.2018372287
"280",18198.7198347278
"281",18191.2409070233
"282",18183.7650528514
"283",18176.292270949
"284",18168.8225600536
"285",18161.3559189032
"286",18153.8923462361
"287",18146.4318407914
"288",18138.9744013085
"289",18131.5200265275
"290",18124.068715189
"291",18116.6204660338
"292",18109.1752778037
"293",18101.7331492407
"294",18094.2940790875
"295",18086.858066087
"296",18079.425108983
"297",18071.9952065197
"298",18064.5683574416
"299",18057.144560494
"300",18049.7238144226
"301",18042.3061179735
"302",18034.8914698936
"303",18027.47986893
"304",18020.0713138305
"305",18012.6658033435
"306",18005.2633362176
"307",17997.8639112022
"308",17990.4675270471
"309",17983.0741825027
"310",17975.6838763197
"311",17968.2966072496
"312",17960.9123740442
"313",17953.5311754558
"314",17946.1530102375
"315",17938.7778771426
"316",17931.405774925
"317",17924.0367023391
"318",17916.6706581399
"319",17909.3076410829
"320",17901.9476499241
"321",17894.5906834198
"322",17887.2367403271
"323",17879.8858194036
"324",17872.5379194071
"325",17865.1930390963
"326",17857.8511772301
"327",17850.5123325682
"328",17843.1765038705
"329",17835.8436898977
"330",17828.5138894107
"331",17821.1871011712
"332",17813.8633239413
